iter	Passed	Remaining
1287	11114	75172
1288	11124	75168
1289	11134	75172
1290	11146	75186
1291	11155	75179
1292	11174	75238
1293	11182	75230
1294	11195	75245
1295	11204	75241
1296	11211	75222
1297	11221	75224
1298	11275	75517
1299	11288	75535
1300	11296	75525
1301	11305	75515
1302	11313	75503
1303	11322	75497
1304	11330	75482
1305	11341	75492
1306	11353	75505
1307	11370	75551
1308	11378	75537
1309	11389	75543
1310	11404	75579
1311	11416	75589
1312	11425	75585
1313	11443	75637
1314	11455	75653
1315	11466	75654
1316	11476	75656
1317	11486	75655
1318	11496	75658
1319	11503	75635
1320	11512	75631
1321	11520	75614
1322	11532	75629
1323	11548	75665
1324	11558	75669
1325	11566	75651
1326	11573	75630
1327	11581	75618
1328	11589	75606
1329	11598	75600
1330	11607	75591
1331	11613	75564
1332	11621	75550
1333	11629	75541
1334	11637	75524
1335	11644	75504
1336	11655	75511
1337	11664	75503
1338	11675	75511
1339	11683	75497
1340	11690	75477
1341	11699	75469
1342	11707	75460
1343	11718	75464
1344	11730	75476
1345	11738	75465
1346	11746	75447
1347	11755	75442
1348	11764	75437
1349	11777	75453
1350	11787	75453
1351	11796	75445
1352	11804	75434
1353	11813	75425
1354	11822	75417
1355	11832	75419
1356	11842	75417
1357	11852	75416
1358	11858	75394
1359	11866	75377
1360	11873	75361
1361	11881	75348
1362	11889	75332
1363	11897	75316
1364	11905	75303
1365	11913	75290
1366	11920	75275
1367	11929	75262
1368	11935	75241
1369	11944	75230
1370	11952	75221
1371	11958	75194
1372	11966	75179
1373	11971	75149
1374	11979	75137
1375	11988	75125
1376	11999	75135
1377	12007	75120
1378	12015	75108
1379	12025	75109
1380	12033	75093
1381	12044	75098
1382	12054	75098
1383	12062	75087
1384	12074	75099
1385	12082	75085
1386	12089	75065
1387	12100	75070
1388	12108	75054
1389	12115	75036
1390	12124	75028
1391	12132	75017
1392	12143	75020
1393	12151	75010
1394	12159	74999
1395	12168	74991
1396	12176	74977
1397	12183	74960
1398	12195	74967
1399	12203	74955
1400	12212	74950
1401	12221	74940
1402	12229	74926
1403	12235	74906
1404	12243	74891
1405	12251	74879
1406	12260	74867
1407	12268	74858
1408	12276	74844
1409	12286	74844
1410	12292	74818
1411	12299	74800
1412	12306	74776
1413	12311	74747
1414	12319	74738
1415	12327	74724
1416	12335	74711
1417	12344	74699
1418	12351	74681
1419	12362	74688
1420	12370	74676
1421	12379	74669
1422	12386	74650
1423	12393	74628
1424	12401	74617
1425	12410	74611
1426	12418	74599
1427	12427	74589
1428	12435	74577
1429	12443	74564
1430	12451	74554
1431	12460	74544
1432	12469	74536
1433	12475	74514
1434	12482	74495
1435	12491	74485
1436	12499	74473
1437	12508	74470
1438	12516	74456
1439	12523	74436
1440	12532	74431
1441	12539	74408
1442	12546	74394
1443	12554	74378
1444	12562	74367
1445	12569	74348
1446	12577	74336
1447	12591	74354
1448	12598	74339
1449	12609	74346
1450	12616	74327
1451	12623	74305
1452	12635	74315
1453	12643	74304
1454	12651	74293
1455	12659	74278
1456	12666	74262
1457	12676	74261
1458	12684	74244
1459	12692	74235
1460	12701	74228
1461	12707	74200
1462	12717	74201
1463	12724	74185
1464	12732	74167
1465	12740	74158
1466	12748	74142
1467	12755	74128
1468	12764	74121
1469	12771	74102
1470	12779	74085
1471	12787	74077
1472	12795	74062
1473	12803	74050
1474	12812	74040
1475	12819	74022
1476	12828	74018
1477	12836	74002
1478	12845	73996
1479	12852	73979
1480	12858	73954
1481	12865	73937
1482	12873	73926
1483	12883	73925
1484	12892	73914
1485	12899	73898
1486	12908	73890
1487	12919	73894
1488	12926	73877
1489	12937	73881
1490	12946	73874
1491	12952	73851
1492	12961	73843
1493	12969	73833
1494	12976	73813
1495	12984	73800
1496	12994	73799
1497	13002	73785
1498	13009	73771
1499	13016	73752
1500	13024	73738
1501	13033	73731
1502	13041	73719
1503	13048	73702
1504	13057	73693
1505	13065	73684
1506	13073	73671
1507	13082	73660
1508	13090	73651
1509	13097	73631
1510	13103	73609
1511	13111	73598
1512	13117	73574
1513	13123	73551
1514	13131	73534
1515	13137	73514
1516	13148	73517
1517	13156	73503
1518	13164	73491
1519	13173	73485
1520	13181	73473
1521	13187	73452
1522	13196	73442
1523	13203	73425
1524	13211	73415
1525	13221	73411
1526	13233	73422
1527	13240	73405
1528	13248	73391
1529	13256	73376
1530	13263	73358
1531	13269	73336
1532	13276	73316
1533	13284	73309
1534	13291	73291
1535	13300	73283
1536	13308	73271
1537	13316	73256
1538	13324	73244
1539	13332	73231
1540	13341	73227
1541	13350	73219
1542	13359	73214
1543	13367	73201
1544	13376	73193
1545	13384	73179
1546	13392	73169
1547	13400	73158
1548	13408	73147
1549	13417	73137
1550	13426	73131
1551	13434	73120
1552	13442	73106
1553	13448	73086
1554	13456	73072
1555	13464	73060
1556	13472	73046
1557	13480	73036
1558	13489	73026
1559	13496	73013
1560	13505	73004
1561	13514	72997
1562	13523	72988
1563	13531	72978
1564	13541	72975
1565	13549	72962
1566	13555	72944
1567	13565	72938
1568	13576	72943
1569	13584	72934
1570	13591	72916
1571	13598	72899
1572	13606	72885
1573	13612	72860
1574	13618	72841
1575	13627	72830
1576	13634	72814
1577	13642	72802
1578	13652	72800
1579	13660	72790
1580	13669	72780
1581	13677	72771
1582	13685	72758
1583	13692	72740
1584	13700	72729
1585	13711	72732
1586	13720	72725
1587	13729	72718
1588	13737	72706
1589	13744	72692
1590	13753	72682
1591	13761	72671
1592	13767	72649
1593	13776	72640
1594	13786	72638
1595	13794	72626
1596	13803	72622
1597	13812	72617
1598	13821	72609
1599	13831	72604
1600	13838	72590
1601	13846	72577
1602	13854	72566
1603	13863	72557
1604	13872	72549
1605	13880	72538
1606	13888	72528
1607	13895	72511
1608	13903	72497
1609	13911	72487
1610	13919	72477
1611	13928	72465
1612	13936	72455
1613	13943	72437
1614	13952	72432
1615	13967	72458
1616	13976	72451
1617	13984	72439
1618	13993	72432
1619	14002	72421
1620	14009	72408
1621	14017	72397
1622	14027	72392
1623	14035	72383
1624	14043	72370
1625	14052	72361
1626	14061	72356
1627	14067	72335
1628	14074	72317
1629	14081	72298
1630	14089	72288
1631	14095	72263
1632	14104	72259
1633	14112	72248
1634	14121	72239
1635	14128	72220
1636	14136	72212
1637	14145	72201
1638	14154	72197
1639	14164	72193
1640	14171	72180
1641	14179	72166
1642	14187	72157
1643	14195	72142
1644	14203	72132
1645	14211	72118
1646	14220	72111
1647	14228	72101
1648	14237	72093
1649	14243	72072
1650	14252	72062
1651	14260	72052
1652	14268	72040
1653	14276	72030
1654	14282	72005
1655	14290	71996
1656	14298	71985
1657	14304	71963
1658	14313	71954
1659	14321	71941
1660	14327	71920
1661	14335	71908
1662	14344	71905
1663	14352	71893
1664	14361	71882
1665	14369	71872
1666	14375	71853
1667	14383	71838
1668	14391	71827
1669	14398	71813
1670	14407	71804
1671	14415	71795
1672	14426	71795
